"5","Купленный товар отличного качества. Товар приехал быстро. Все ОК !"
"4","Пользуюсь 3 недели,разобрались с настройками довольно быстро.Главное пользоватся хорошим зерновым кофем."
"1","кава не смачна"
"5","Сравнивать не с чем, так как это первая наша кофеварка. Но после нескольких дней пользования могу сказать, что ни секунды не жалеем о покупке."
"5","Спасибо розетке."
"5","Заказывали машину недельки две назад. Так как это первая наша кофемашина сравнить нету с чем. Долго выбирали и остановились на этой модели. Благодаря понятной инструкции быстро разобрались и легко выставили подходящие нам настройки. Кофе получается очень вкусный (роль, конечно же, играет и сам кофе). Так же активно пользуемся капучинатором. Пока все нравится. Покупкой довольны!"
"3","нерекомендую"
"5","Купили кофеварку DELONGHI ESAM 4200 , пользуемся неделю. Это просто чудо на нашей кухне. Очень простая для понимания. Капучино, лате, кофе, всё получается с отличной пенкой. Просто после каждой чашки получаешь удовольствие. Главное - нет проблем мыть после использования, она всё делает сама. Теперь это незаменимая вещь в нашей семье."
"5","Приємно, що до кавомашини дали ""в нагрузку"" 1 кг кави ""Kimbo for Delonghi"". Продовжую підбирати каву до смаку, тобто співвідношення арабіки і робусти, не думав, що остання має такий вплив на смак. Воду заливаю зі системи зворотнього осмосу (на тесті жорсткості води, що в комплекті, всі 4 квадратики стали зелені), інший варіант - бутильована, типу ""Арктика"" або подібна, але в жодному разі не лийте ""з під крану"" ! Помол виставив на ""1,5-2"", так щоб кава не капала, а повільно лилася, тонкою струйкою. Міцність викрутив на максимум, кількість кави - виставив по середині. Молоко для капучіно треба брати з холодильника, жирність має бути мінімальна, інакше доброї пінки не отримаєте. Не подобається колір пінки на каві, здається, що вона має бути темно-жовта до оранжевої, як у рекламному ролику, а у мене виходить бежева до світло-коричневої, але то все мабуть залежить від сорту кави. Мелену каву варити ще не пробував. Наразі все, продовжую вивчати/звикати. Потім може ще напишу."
"5","Возможно шумная кофемолка, но в сравнении с более дорогими кофемашинами шумит примерно так же. Кофе получается классный. В любом случае для приготовления ароматного кофе надо качественный кофе и хорошую воду. Доволен покупкой."
"5","Советую эту кофемашинку, это самая дешевая из автоматов, и самая простая и качественна, вы не заметете разницу в кофемашинке за 30 тыс и в этой, если поставить 2 крушки! 100% даже если вы супер эксперт ). бесит только вечная прочистка при включении и выключении, и контейнер 1,8 литра из за этого мало. а так все на 5 из 5."
"5","купили дороже, чем цена сейчас. Кофемашина красива, умна и хозяйственна :)"
"5","успел купить на днях по акции, разобрался быстро, ничего сложного, читайте инструкцию! Начните сразу с установки жесткости воды, режим кофемолки менять можно только когда она работает, режим эко у меня включен(кстати, в этом режиме нагрев чашек не работает!). Дальше засыпайте зерна, настройте количество и крепость кофе методом тыка) и всё! Отличная машина!"
"4","Покупкой доволен. Пользуюсь уже больше чем пол года. Пару месяцев назад загорелась лампочка, оповещающая о неоходимости очистки от накипи."
"5","кофемашина супер! привез из Англии, отличный кофе с пенкой, хотя она конечно не для одного человека, т.к. каждый раз при включении и выключении выполняет промывку соответственно у меня расход воды больше на промывку идет чем на кофе, воду покупаю в 5-ти л бутылках, т.к. в кране полный отстой, не хочу убить кофеварку."
