"5","Функции кофеварки выполняет на все 100%. Кофе вкусный, капучино и латте с хорошей пенкой. Единственное что смущает - так это разные порции молока время от времени. Имея 400мл латтешный стакан может перелить молока с пенкой, при заявленных в инструкции 340 мл. Возможно это связано с разным молоком, жирностью, его температурой."
"5","Товаром доволен!Рекомендую"
"5","Отличная кофемашина, простая в использование и обслуживание. Эспрессо и латте получаются просто отличные."
"5","Большая просьба,пользователям этой кофеварки, подскажите...в какой сервисный центр можно обратиться по поводу ремонта, так как ни один сервис не берется ремонтировать ссылаясь что нет запчастей. Буду благодарна всем кто подскажет, кофе делает замечательный другую не хочу, цена хорошая и не уступает брендам."
"5","За эти деньги я даже не ожидал и половины ее возможностей и качества напитков. Посмотрим сколько она проживет, но пока я не вижу смысла брать более дорогие."
"5","Сподобалось! Рекомендую"
"5","Купили данную модель год назад, остались нею очень довольны. Очень проста в использовании, всем советую."
"3","не особо довольна,пользуюсь год. Кофе получается горький, пробовала на множестве сортов, и фирм. и чистила ее,не помогает. Ожидала лучшего. Для пенки идеально молоко селянское в упаковке долгого хранения!!!"
"5","Купили данную кофемашину пару месяцев назад. Результат приготовления приятно порадовал. Кофе получается заваристый, ароматный с густой пенкой. Кофеварка легка в обращении, процесс приготовления полностью автоматический. Одним нажатием кнопки получается чашечка лате или капуччино с густой пенкой. Лате получается в точности как на картинке. Специально для лате купили прозрычные стеклянные чашки. Отличная вещь для ценителей натурального молотого кофе!"
"4","Очень доволен покупкой"
"5","кофеварка просто бомба,справляется со своими задачами на все 100%.рекомендую"
